PERINGKAT,NAMA PROVINSI,NAMA KABUPATEN,NAMA KECAMATAN,"K0DE DESA DAGRI 72/2019",NAMA DESA,"NILAI IDM 2021","STATUS IDM DESA 2021"
"62,918",ACEH,PIDIE,PADANG TIJI,1107142029,CAPA PALOH,0.5538,TERTINGGAL
"62,919",BENGKULU,REJANG LEBONG,SINDANG BELITI ILIR,1702232008,SARI PULAU,0.5538,TERTINGGAL
"62,920",KALIMANTAN BARAT,KAPUAS HULU,SILAT HULU,6106162011,LANDAU RANTAU,0.5538,TERTINGGAL
"62,921",KALIMANTAN BARAT,KUBU RAYA,BATU AMPAR,6112052011,TANJUNG HARAPAN,0.5538,TERTINGGAL
"62,922",MALUKU UTARA,HALMAHERA SELATAN,OBI SELATAN,8204052003,BOBO,0.5538,TERTINGGAL
"62,923",MALUKU UTARA,HALMAHERA UTARA,KAO,8203072051,KUSU LOFRA,0.5538,TERTINGGAL
"62,924",NUSA TENGGARA TIMUR,MALAKA,WEWIKU,5321032007,SESERAI,0.5538,TERTINGGAL
"62,925",NUSA TENGGARA TIMUR,NAGEKEO,KEO TENGAH,5316062009,PAUTOLA,0.5538,TERTINGGAL
"62,926",PAPUA,JAYAPURA,KEMTUK GRESI,9103062014,JAGRANG,0.5538,TERTINGGAL
"62,927",SULAWESI TENGAH,PARIGI MOUTONG,MOUTONG,7208042032,MBELANG MBELANG,0.5538,TERTINGGAL
"62,928",SULAWESI TENGGARA,KONAWE SELATAN,BASALA,7405212003,LERE,0.5538,TERTINGGAL
"62,929",SULAWESI TENGGARA,KONAWE UTARA,ASERA,7409012027,ASEMINUNULAI,0.5538,TERTINGGAL
"62,930",SUMATERA UTARA,HUMBANG HASUNDUTAN,PAKKAT,1216092014,PULO GODANG,0.5538,TERTINGGAL
"62,931",SUMATERA UTARA,KARO,TIGABINANGA,1206082020,BATUMAMAK,0.5538,TERTINGGAL
"62,932",SUMATERA UTARA,KOTA GUNUNGSITOLI,GUNUNGSITOLI IDANOI,1278042020,FADORO,0.5538,TERTINGGAL
"62,933",SUMATERA UTARA,KOTA GUNUNGSITOLI,GUNUNGSITOLI IDANOI,1278042014,TETEHOSI II,0.5538,TERTINGGAL
"62,934",SUMATERA UTARA,KOTA GUNUNGSITOLI,GUNUNGSITOLI SELATAN,1278022001,ONONAMOLO I LOT,0.5538,TERTINGGAL
"62,935",SUMATERA UTARA,PADANG LAWAS,BARUMUN,1221072013,BINABO JAE,0.5538,TERTINGGAL
"62,936",SUMATERA UTARA,PADANG LAWAS UTARA,DOLOK SIGOMPULON,1220012023,SALUSUHAN,0.5538,TERTINGGAL
"62,937",SUMATERA UTARA,PADANG LAWAS UTARA,PADANG BOLAK JULU,1220052009,BALIMBING JULU,0.5538,TERTINGGAL
"62,938",SUMATERA UTARA,TAPANULI TENGAH,MANDUAMAS,1201052013,BINJOHARA BARU,0.5538,TERTINGGAL
"62,939",ACEH,ACEH TENGAH,PEGASING,1104072031,WIH LAH,0.5537,TERTINGGAL
"62,940",ACEH,PIDIE,KEMBANG TANJONG,1107082008,JARENG,0.5537,TERTINGGAL
"62,941",ACEH,PIDIE JAYA,JANGKA BUAYA,1118032001,MEUKO JURONG,0.5537,TERTINGGAL
"62,942",ACEH,SIMEULUE,SALANG,1109022011,TAMENG,0.5537,TERTINGGAL
"62,943",KALIMANTAN TENGAH,KAPUAS,MANTANGAI,6203092015,MUROI RAYA,0.5537,TERTINGGAL
"62,944",MALUKU,MALUKU BARAT DAYA,MNDONA HIERA,8108032007,ROMDARA,0.5537,TERTINGGAL
"62,945",MALUKU,SERAM BAGIAN TIMUR,PULAU GOROM,8105042044,KILALIR KILWOUW,0.5537,TERTINGGAL
"62,946",NUSA TENGGARA BARAT,BIMA,LANGGUDU,5206112004,KALODU,0.5537,TERTINGGAL
"62,947",NUSA TENGGARA TIMUR,ENDE,NDONA,5308052012,NGALUROGA,0.5537,TERTINGGAL
"62,948",NUSA TENGGARA TIMUR,NGADA,RIUNG BARAT,5309142008,BENTENG TAWA I,0.5537,TERTINGGAL
"62,949",NUSA TENGGARA TIMUR,ROTE NDAO,PANTAI BARU,5314052005,OEBAU,0.5537,TERTINGGAL
"62,950",PAPUA BARAT,FAK FAK,TELUK PATIPI,9203092021,MUHRI,0.5537,TERTINGGAL
"62,951",PAPUA BARAT,KAIMANA,TELUK ARGUNI ATAS,9208032010,SAWATEWERA,0.5537,TERTINGGAL
"62,952",PAPUA BARAT,SORONG,KLASAFET,9201512005,KLAWILI BE,0.5537,TERTINGGAL
"62,953",SULAWESI BARAT,POLEWALI MANDAR,LIMBORO,7604112008,RENGGEANG,0.5537,TERTINGGAL
"62,954",SULAWESI TENGAH,BANGGAI,PAGIMANA,7201072001,BALOA DODA,0.5537,TERTINGGAL
"62,955",SUMATERA UTARA,MANDAILING NATAL,BATANG NATAL,1213132023,TARLOLA,0.5537,TERTINGGAL
"62,956",PAPUA,PEGUNUNGAN BINTANG,OKLIP,9112222005,OKAMIN,0.5537,TERTINGGAL
"62,957",ACEH,BIREUEN,KUALA,1111142004,COT GLEUMPANG,0.5535,TERTINGGAL
"62,958",ACEH,PIDIE,BATEE,1107032007,GEUNTENG TIMUR,0.5535,TERTINGGAL
"62,959",GORONTALO,BONE BOLANGO,PINOGU,7503182001,PINOGU,0.5535,TERTINGGAL
"62,960",KALIMANTAN BARAT,LANDAK,MERANTI,6108082003,MORO BETUNG,0.5535,TERTINGGAL
"62,961",MALUKU,MALUKU BARAT DAYA,PULAU-PULAU BABAR,8108042006,LETSIARA,0.5535,TERTINGGAL
"62,962",MALUKU,MALUKU TENGAH,SERAM UTARA TIMUR KOBI,8101252003,MANEO RENDAH,0.5535,TERTINGGAL
"62,963",PAPUA,ASMAT,SUATOR,9118072001,BINAM,0.5535,TERTINGGAL
"62,964",PAPUA,BIAK NUMFOR,YENDIDORI,9106112018,BINYERI,0.5535,TERTINGGAL
"62,965",PAPUA,KEPULAUAN YAPEN,TELUK AMPIMOI,9105092009,BARERAIF,0.5535,TERTINGGAL
"62,966",SULAWESI TENGGARA,MUNA,KONTUNAGA,7403202006,MASALILI,0.5535,TERTINGGAL
"62,967",SULAWESI TENGGARA,MUNA BARAT,TIWORO KEPULAUAN,7413092001,KATELA,0.5535,TERTINGGAL
"62,968",SUMATERA UTARA,MANDAILING NATAL,RANTO BAEK,1213182003,SAMPURAN,0.5535,TERTINGGAL
"62,969",SUMATERA UTARA,NIAS SELATAN,AMANDRAYA,1214072033,TUHEMBERUA AMANDRAYA,0.5535,TERTINGGAL
"62,970",ACEH,ACEH UTARA,MEURAH MULIA,1108072044,RANTO,0.5533,TERTINGGAL
"62,971",BANTEN,PANDEGLANG,CIBALIUNG,3601032011,MAHENDRA,0.5533,TERTINGGAL
"62,972",BENGKULU,SELUMA,ULU TALO,1705132003,PAGAR AGUNG,0.5533,TERTINGGAL
"62,973",JAMBI,SAROLANGUN,PAUH,1503042021,TAMAN BANDUNG,0.5533,TERTINGGAL
"62,974",KALIMANTAN BARAT,SINTANG,KAYAN HILIR,6105082019,LANDAU BERINGIN,0.5533,TERTINGGAL
"62,975",MALUKU UTARA,HALMAHERA UTARA,LOLODA UTARA,8203092022,IGO,0.5533,TERTINGGAL
"62,976",RIAU,KEPULAUAN MERANTI,RANGSANG,1410032002,TANJUNG MEDANG,0.5533,TERTINGGAL
"62,977",SULAWESI TENGAH,BANGGAI KEPULAUAN,BUKO,7207072011,PELING LALOMO,0.5533,TERTINGGAL
"62,978",SULAWESI TENGGARA,KOLAKA TIMUR,TINONDO,7411092010,SINGGERE,0.5533,TERTINGGAL
"62,979",SUMATERA UTARA,KOTA GUNUNGSITOLI,GUNUNGSITOLI SELATAN,1278022014,HILIGODU OMBOLATA,0.5533,TERTINGGAL
"62,980",ACEH,ACEH BESAR,PULO ACEH,1106132003,MELINGGE,0.5532,TERTINGGAL
"62,981",ACEH,PIDIE,MUTIARA TIMUR,1107242032,TONG PERIA,0.5532,TERTINGGAL
"62,982",MALUKU,MALUKU BARAT DAYA,PULAU WETANG,8108112005,WASARILI,0.5532,TERTINGGAL
"62,983",MALUKU UTARA,HALMAHERA UTARA,GALELA UTARA,8203152005,TUTUMALOLEO,0.5532,TERTINGGAL
"62,984",NUSA TENGGARA TIMUR,SUMBA BARAT DAYA,WEWEWA TENGAH,5318102005,LOMBU,0.5532,TERTINGGAL
"62,985",PAPUA,MAMBERAMO RAYA,SAWAI,9120082005,RAPAMEREI,0.5532,TERTINGGAL
"62,986",PAPUA BARAT,SORONG,KLAMONO,9201082009,WONOSARI,0.5532,TERTINGGAL
"62,987",SULAWESI SELATAN,KEPULAUAN SELAYAR,PASILAMBENA,7301092002,GARAUPA,0.5532,TERTINGGAL
"62,988",SULAWESI TENGAH,POSO,LORE SELATAN,7202092007,BADANGKAIA,0.5532,TERTINGGAL
"62,989",SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,RUNJUNG AGUNG,1609142009,KARANG ENDAH,0.5532,TERTINGGAL
"62,990",SUMATERA UTARA,DELI SERDANG,SIBOLANGIT,1207032013,KUALA,0.5532,TERTINGGAL
"62,991",ACEH,ACEH UTARA,LANGKAHAN,1108182002,ALUE DUA,0.5530,TERTINGGAL
"62,992",KALIMANTAN TENGAH,GUNUNG MAS,DAMANG BATU,6210082005,TUMBANG POSU,0.5530,TERTINGGAL
"62,993",KALIMANTAN TIMUR,MAHAKAM ULU,LONG APARI,6411042007,NAHA BUAN,0.5530,TERTINGGAL
"62,994",MALUKU,KEPULAUAN ARU,ARU SELATAN UTARA,8107102007,MAEKOR,0.5530,TERTINGGAL
"62,995",MALUKU,MALUKU TENGAH,SERAM UTARA TIMUR SETI,8101242009,AKETERNATE,0.5530,TERTINGGAL
"62,996",MALUKU UTARA,HALMAHERA TENGAH,PULAU GEBE,8202032004,UMERA,0.5530,TERTINGGAL
"62,997",NUSA TENGGARA TIMUR,KUPANG,KUPANG TIMUR,5301062011,PUKDALE,0.5530,TERTINGGAL
"62,998",NUSA TENGGARA TIMUR,MANGGARAI TIMUR,LAMBA LEDA,5319032002,TENGKU LAWAR,0.5530,TERTINGGAL
"62,999",NUSA TENGGARA TIMUR,SUMBA BARAT,TANA RIGHU,5312042009,ZALA KADU,0.5530,TERTINGGAL
"63,000",PAPUA BARAT,TELUK BINTUNI,BINTUNI,9206012004,TUASAI,0.5530,TERTINGGAL
"63,001",SULAWESI TENGAH,SIGI,LINDU,7210042004,ANCA,0.5530,TERTINGGAL
"63,002",SULAWESI TENGGARA,KOLAKA TIMUR,UEESI,7411112002,WESINGGOTE,0.5530,TERTINGGAL
